station_code,traffic_count
AC,36266.0
ACDG,405.0
AH,215654.0
AHBF,10640.0
AHP,62108.0
AHPR,23865.0
AHZ,35018.0
AIME,26.0
AIXTGV,18.0
AKL,22930.0
AKM,24214.0
ALBERT,26.0
ALM,135010.0
ALMB,51018.0
ALMM,77109.0
ALMO,48859.0
ALMP,45498.0
AMF,206480.0
AMFS,73911.0
AML,102139.0
AMPO,77119.0
AMR,75667.0
AMRI,29116.0
AMRN,52977.0
AMST,10.0
ANA,29773.0
ANDD,11820.0
APD,87294.0
APDM,19795.0
APDO,22418.0
APG,22300.0
APN,79296.0
ARN,28767.0
ASA,104276.0
ASB,91457.0
ASD,381786.0
ASDL,62256.0
ASDM,92074.0
ASDN,1247.0
ASDZ,143801.0
ASHD,36490.0
ASN,54884.0
ASS,266236.0
ASSP,54477.0
ATN,24923.0
ATW,31469.0
ATWLB,11754.0
AVAT,48654.0
AVTGV,18.0
AW,10634.0
BADENZ,710.0
BASELB,1153.0
BASELS,1153.0
BD,96141.0
BDE,25644.0
BDG,38517.0
BDM,22302.0
BDPB,23497.0
BERCH,22180.0
BERHBL,3557.0
BET,44503.0
BEURS,5349.0
BF,24858.0
BGN,39980.0
BH,17589.0
BHDV,40977.0
BHF,3470.0
BHV,47833.0
BIELEF,9625.0
BK,25644.0
BKF,29821.0
BKG,29822.0
BKL,62635.0
BL,26369.0
BLL,28239.0
BMN,23568.0
BMR,33164.0
BN,29117.0
BNC,41725.0
BNK,31729.0
BNN,41262.0
BNZ,42047.0
BONN,741.0
BOURG,26.0
BP,34838.0
BR,56687.0
BRD,44549.0
BRESSX,12338.0
BRN,51068.0
BRUSC,11267.0
BRUSN,11320.0
BRUSZ,23192.0
BSD,22947.0
BSK,40120.0
BSKS,40039.0
BSMZ,42482.0
BSPD,3572.0
BTL,46398.0
BUENDE,12175.0
BV,28160.0
BZL,29488.0
CAS,71303.0
CHAMB,26.0
CK,33275.0
CL,61421.0
CO,30630.0
CPBR,4695.0
CPS,28803.0
CVM,25770.0
DA,17777.0
DB,66760.0
DDN,22955.0
DDR,175209.0
DDRS,41205.0
DDZD,44259.0
DEI,19308.0
DID,39212.0
DL,29953.0
DLD,47658.0
DLN,16054.0
DMN,54610.0
DMNZ,41097.0
DN,52589.0
DR,51861.0
DRH,27985.0
DRON,28409.0
DRP,19318.0
DT,126062.0
DTC,39198.0
DTCH,39189.0
DTCP,44927.0
DUISB,15798.0
DUSSEL,27915.0
DV,95287.0
DVC,23328.0
DVD,107230.0
DVN,39226.0
DVNK,47493.0
DWE,22536.0
DZ,22300.0
DZW,22300.0
EABG,12903.0
EAHS,11167.0
EBEO,9822.0
EBFT,12903.0
EBGO,12903.0
EBOK,10857.0
EC,25081.0
ECMF,11167.0
ED,95205.0
EDC,27279.0
EDD,10870.0
EDKD,10870.0
EDN,12648.0
EDO,10877.0
EDULH,10857.0
EEM,4992.0
EENP,10547.0
EEPE,11167.0
EGH,25788.0
EGHM,11982.0
EGRK,12903.0
EHS,44489.0
EHV,160889.0
EHW,11167.0
EHZW,9822.0
EKZ,29816.0
EL,15060.0
ELDH,10857.0
ELET,10857.0
ELGD,11167.0
ELUE,10870.0
EM,15116.0
EML,26243.0
EMN,28004.0
EMNZ,27300.0
EMTE,12903.0
ENBE,12903.0
ENHF,12903.0
ENOW,12903.0
EOP,12903.0
EPRA,10908.0
EPRN,10870.0
ES,86522.0
ESE,25237.0
ESEB,10857.0
ESEM,10857.0
ESK,29487.0
ESN,12559.0
ESRT,9822.0
EST,55568.0
ETN,28193.0
EUN,9822.0
FBNL,11319.0
FFFM,5433.0
FFS,669.0
FHS,6233.0
FKTH,12142.0
FLB,117.0
FLGP,6233.0
FLJ,6233.0
FMZ,1372.0
FN,23405.0
FNAF,5777.0
FNZD,10855.0
FRP,10608.0
FVS,12743.0
FWD,41613.0
G,25351.0
GBG,16075.0
GBR,25237.0
GD,172291.0
GDG,60549.0
GDM,88123.0
GDR,25480.0
GERP,79568.0
GK,22535.0
GKT,12142.0
GLN,18035.0
GN,199673.0
GND,41199.0
GNN,46591.0
GO,23096.0
GP,21561.0
GR,41254.0
GS,41799.0
GSB,396.0
GV,128721.0
GVC,215022.0
GVM,47520.0
GVMW,48873.0
GW,22367.0
GWD,12142.0
GZ,23124.0
HAD,65099.0
HAGEN,10551.0
HAMM,9891.0
HANN,4601.0
HB,18034.0
HBZM,23633.0
HD,26623.0
HDB,46261.0
HDE,27050.0
HDG,22642.0
HDR,30729.0
HDRZ,29773.0
HFD,101485.0
HGL,104953.0
HGLG,22641.0
HGLO,23947.0
HGV,26424.0
HGZ,45937.0
HIL,29265.0
HK,27986.0
HKS,30432.0
HLG,23456.0
HLGH,23456.0
HLM,134082.0
HLMS,55618.0
HLO,58409.0
HM,53733.0
HMBH,21831.0
HMBV,21747.0
HMH,21744.0
HMN,19325.0
HN,77481.0
HNK,44161.0
HNO,24523.0
HNP,16215.0
HON,23326.0
HOR,28740.0
HR,46497.0
HRL,101055.0
HRLW,26640.0
HRN,27737.0
HRNT,459.0
HRT,30907.0
HRY,8.0
HT,184992.0
HTN,62423.0
HTNC,60775.0
HTO,24356.0
HVL,41261.0
HVS,122416.0
HVSM,42497.0
HVSP,41563.0
HWD,58175.0
HWOB,3232.0
HWZB,55650.0
HZ,18677.0
HZE,21562.0
IJT,15375.0
INNSB,702.0
JENBAC,702.0
KARLSR,1211.0
KBB,622.0
KBD,29058.0
KBK,18837.0
KBOI,13701.0
KBRY,13701.0
KDFFH,11889.0
KDUL,13701.0
KKD,1280.0
KKERP,216.0
KKO,1352.0
KKW,293.0
KLP,30017.0
KMA,36409.0
KMB,117.0
KMR,26689.0
KMW,16215.0
KN,15039.0
KOLN,4824.0
KPN,25305.0
KPNZ,27543.0
KRD,25770.0
KRG,29490.0
KSB,1208.0
KSWE,10547.0
KT,163.0
KTR,19389.0
KUFST,702.0
KW,45936.0
KWBA,10547.0
KWO,10547.0
KZ,36407.0
LAA,97553.0
LANDRY,26.0
LC,22085.0
LDL,38741.0
LDM,22946.0
LEDN,206022.0
LEER,18433.0
LG,39173.0
LILLEE,953.0
LINZ,364.0
LKP,12142.0
LKR,11820.0
LLS,63219.0
LLZM,34133.0
LP,22300.0
LS,3322.0
LTN,27281.0
LTV,22908.0
LUIK,12338.0
LUT,25642.0
LW,133999.0
LWC,22540.0
MA,702.0
MANNHE,1211.0
MARIA,11820.0
MARNE,361.0
MARS,18.0
MAS,35122.0
MCGB,16448.0
MDB,38453.0
MECH,11257.0
MES,33082.0
MG,20967.0
MID,12142.0
MINDEN,4275.0
MMLH,33202.0
MOUT,26.0
MP,73780.0
MRB,45662.0
MRN,26976.0
MT,109460.0
MTH,45935.0
MTN,26535.0
MTR,66849.0
MUNCHH,702.0
MUNST,12965.0
MZ,21567.0
NDB,65656.0
NDKP,11326.0
NEUSS,12020.0
NH,18036.0
NKK,26622.0
NM,149995.0
NMD,40538.0
NMGO,40506.0
NMH,33202.0
NML,35015.0
NS,27443.0
NSCH,14747.0
NURNB,1414.0
NVD,29905.0
NVP,41069.0
NWK,28932.0
O,53892.0
OBD,24940.0
OBERH,19237.0
OBERHS,11127.0
ODB,24231.0
ODZ,35751.0
OEYNH,2400.0
OMN,30033.0
OP,19389.0
OSNH,14433.0
OST,27713.0
OT,22987.0
OTB,21375.0
OVN,28526.0
OW,24346.0
PARIS,7454.0
PASS,364.0
PMO,23590.0
PMR,24471.0
PMW,23504.0
POLTEN,364.0
PT,26553.0
RAI,42884.0
RAT,29981.0
RB,29066.0
RBB,710.0
RD,24545.0
REGENB,364.0
RF,1153.0
RH,23874.0
RHEINE,16057.0
RHN,26757.0
RL,22908.0
RLB,47161.0
RM,99919.0
RO,1153.0
ROSENH,702.0
RS,24351.0
RSD,106574.0
RSN,26909.0
RSW,48896.0
RTA,67407.0
RTB,92823.0
RTD,253666.0
RTN,28917.0
RTNG,5.0
RTST,4757.0
RTZ,43867.0
RV,26128.0
RVS,23607.0
SBK,18035.0
SD,21576.0
SDA,27829.0
SDM,107184.0
SDT,41053.0
SDTB,40972.0
SGL,26535.0
SGN,31838.0
SHL,267192.0
SK,23730.0
SKND,21689.0
SM,26269.0
SN,18035.0
SOG,26689.0
SPTN,28650.0
SPTZ,28238.0
SRN,24946.0
SSH,41886.0
ST,21801.0
STD,98074.0
STM,22768.0
STP,2493.0
STV,16215.0
STZ,21567.0
SWD,45608.0
SWK,45830.0
TB,101300.0
TBG,25484.0
TBR,23110.0
TBU,44734.0
TG,26130.0
TL,47220.0
TPSW,27606.0
TWL,22557.0
UHM,24305.0
UHZ,24305.0
UST,24305.0
UT,424116.0
UTG,66684.0
UTLN,61070.0
UTLR,39659.0
UTM,4788.0
UTO,88132.0
UTT,39630.0
UTVR,92460.0
UTZL,34862.0
VALTGV,18.0
VB,34340.0
VD,22909.0
VDL,26640.0
VDM,22800.0
VEM,20403.0
VG,23333.0
VH,29400.0
VHP,17777.0
VIERS,13720.0
VK,38302.0
VL,77080.0
VLB,33167.0
VNDC,26755.0
VNDW,26755.0
VP,23865.0
VRY,33172.0
VS,37519.0
VSS,28819.0
VST,47490.0
VSV,24921.0
VTN,39631.0
VZ,17777.0
WAD,40042.0
WADN,40039.0
WADT,40041.0
WBF,364.0
WC,41569.0
WD,101724.0
WDN,48660.0
WELS,364.0
WESEL,14690.0
WF,22505.0
WFM,24368.0
WH,27637.0
WK,16215.0
WL,39190.0
WM,36436.0
WORGL,702.0
WP,102945.0
WR,25383.0
WS,27909.0
WSM,24370.0
WT,72167.0
WTV,39226.0
WUPPH,10547.0
WUPPV,10547.0
WURZB,374.0
WV,21844.0
WW,47828.0
WWW,22908.0
WZ,26366.0
YPB,36734.0
ZA,19389.0
ZB,46048.0
ZBM,33667.0
ZD,106205.0
ZDK,23563.0
ZH,31257.0
ZL,260114.0
ZLSH,25304.0
ZLW,51175.0
ZP,116360.0
ZTM,33609.0
ZTMO,34132.0
ZUE,710.0
ZV,54366.0
ZVB,24227.0
ZVT,32903.0
ZWD,45940.0
ZZS,36409.0
NA,27180.0
