"Voorraad woningen; gemiddeld oppervlak; woningtype, bouwjaarklasse, regio"
""
"";""
"";"Onderwerp";"Beginstand woningvoorraad";"Gemiddelde oppervlakte"
"";"Woningtype";"Totaal";"Totaal"
"";"Bouwjaarklasse";"Totaal";"Totaal"
"Regio's";"Perioden";"aantal";"m2"
"Aa en Hunze";"2023";"11428";"183"
"Aalburg";"2023";"";""
"Aalsmeer";"2023";"13460";"126"
"Aalten";"2023";"12164";"140"
"Achtkarspelen";"2023";"12289";"142"
"Alblasserdam";"2023";"8449";"109"
"Albrandswaard";"2023";"10730";"129"
"Alkmaar";"2023";"53417";"104"
"Almelo";"2023";"34067";"120"
"Almere";"2023";"90690";"113"
"Alphen aan den Rijn";"2023";"50031";"116"
"Alphen-Chaam";"2023";"4517";"171"
"Altena";"2023";"23200";"140"
"Ameland";"2023";"1859";"144"
"Amersfoort";"2023";"70722";"112"
"Amstelveen";"2023";"42880";"108"
"Amsterdam";"2023";"474866";"77"
"Apeldoorn";"2023";"75096";"120"
"Appingedam";"2023";"";""
"Arnhem";"2023";"79817";"104"
"Assen";"2023";"32998";"119"
"Asten";"2023";"7225";"162"
"Baarle-Nassau";"2023";"2962";"163"
"Baarn";"2023";"11790";"118"
"Barendrecht";"2023";"19750";"127"
"Barneveld";"2023";"23576";"136"
"Bedum";"2023";"";""
"Beek (L.)";"2023";"7547";"147"
"Beekdaelen";"2023";"16765";"165"
"Beemster";"2023";"";""
"Beesel";"2023";"6095";"142"
"Bellingwedde";"2023";"";""
"Berg en Dal";"2023";"16082";"135"
"Bergambacht";"2023";"";""
"Bergeijk";"2023";"8225";"172"
"Bergen (L.)";"2023";"5836";"158"
"Bergen (NH.)";"2023";"15473";"131"
"Bergen op Zoom";"2023";"31501";"121"
"Berkelland";"2023";"19840";"154"
"Bernheze";"2023";"13107";"162"
"Bernisse";"2023";"";""
"Best";"2023";"13337";"141"
"Beuningen";"2023";"11391";"137"
"Beverwijk";"2023";"19906";"99"
"het Bildt";"2023";"";""
"De Bilt";"2023";"19884";"130"
"Binnenmaas";"2023";"";""
"Bladel";"2023";"9121";"154"
"Blaricum";"2023";"5372";"170"
"Bloemendaal";"2023";"10262";"166"
"Boarnsterhim";"2023";"";""
"Bodegraven-Reeuwijk";"2023";"15074";"131"
"Boekel";"2023";"4518";"171"
"Ten Boer";"2023";"";""
"Borger-Odoorn";"2023";"11432";"150"
"Borne";"2023";"10307";"143"
"Borsele";"2023";"10015";"147"
"Boskoop";"2023";"";""
"Boxmeer";"2023";"";""
"Boxtel";"2023";"14709";"141"
"Breda";"2023";"86727";"117"
"Brielle";"2023";"";""
"Bronckhorst";"2023";"16373";"162"
"Brummen";"2023";"9647";"131"
"Brunssum";"2023";"14512";"125"
"Bunnik";"2023";"6764";"135"
"Bunschoten";"2023";"8825";"125"
"Buren";"2023";"11125";"158"
"Bussum";"2023";"";""
"Capelle aan den IJssel";"2023";"31488";"103"
"Castricum";"2023";"16344";"122"
"Coevorden";"2023";"15895";"144"
"Cranendonck";"2023";"9139";"156"
"Cromstrijen";"2023";"";""
"Cuijk";"2023";"";""
"Culemborg";"2023";"13023";"120"
"Dalfsen";"2023";"12332";"157"
"Dantumadiel";"2023";"8263";"147"
"Delft";"2023";"52816";"88"
"Delfzijl";"2023";"";""
"Deurne";"2023";"14312";"162"
"Deventer";"2023";"47015";"113"
"Diemen";"2023";"15959";"90"
"Dijk en Waard";"2023";"37459";"119"
"Dinkelland";"2023";"11186";"165"
"Dirksland";"2023";"";""
"Doesburg";"2023";"5380";"122"
"Doetinchem";"2023";"26836";"126"
"Dongen";"2023";"11732";"136"
"Dongeradeel";"2023";"";""
"Dordrecht";"2023";"56596";"104"
"Drechterland";"2023";"8602";"146"
"Drimmelen";"2023";"12182";"143"
"Dronten";"2023";"18344";"135"
"Druten";"2023";"8433";"142"
"Duiven";"2023";"10865";"128"
"Echt-Susteren";"2023";"14911";"160"
"Edam-Volendam";"2023";"15678";"128"
"Ede";"2023";"51718";"120"
"Eemnes";"2023";"4125";"135"
"Eemsdelta";"2023";"23587";"141"
"Eemsmond";"2023";"";""
"Eersel";"2023";"8662";"166"
"Eijsden-Margraten";"2023";"11488";"171"
"Eindhoven";"2023";"118333";"108"
"Elburg";"2023";"9761";"129"
"Emmen";"2023";"50332";"132"
"Enkhuizen";"2023";"8927";"112"
"Enschede";"2023";"77059";"107"
"Epe";"2023";"14844";"136"
"Ermelo";"2023";"11647";"131"
"Etten-Leur";"2023";"19766";"127"
"Ferwerderadiel";"2023";"";""
"Franekeradeel";"2023";"";""
"De Friese Meren";"2023";"";""
"De Fryske Marren";"2023";"23593";"152"
"Gaasterlân-Sleat";"2023";"";""
"Geertruidenberg";"2023";"10120";"128"
"Geldermalsen";"2023";"";""
"Geldrop-Mierlo";"2023";"18308";"133"
"Gemert-Bakel";"2023";"12989";"165"
"Gennep";"2023";"7705";"147"
"Giessenlanden";"2023";"";""
"Gilze en Rijen";"2023";"11508";"132"
"Goedereede";"2023";"";""
"Goeree-Overflakkee";"2023";"22564";"129"
"Goes";"2023";"19076";"121"
"Goirle";"2023";"10561";"137"
"Gooise Meren";"2023";"27590";"124"
"Gorinchem";"2023";"17789";"106"
"Gouda";"2023";"34477";"102"
"Graafstroom";"2023";"";""
"Graft-De Rijp";"2023";"";""
"Grave";"2023";"";""
"'s-Gravenhage (gemeente)";"2023";"270220";"94"
"Groesbeek";"2023";"";""
"Groningen (gemeente)";"2023";"122715";"103"
"Grootegast";"2023";"";""
"Gulpen-Wittem";"2023";"6892";"161"
"Haaksbergen";"2023";"10666";"144"
"Haaren";"2023";"";""
"Haarlem";"2023";"78000";"101"
"Haarlemmerliede en Spaarnwoude";"2023";"";""
"Haarlemmermeer";"2023";"66659";"115"
"Halderberge";"2023";"13702";"142"
"Hardenberg";"2023";"25844";"142"
"Harderwijk";"2023";"21553";"116"
"Hardinxveld-Giessendam";"2023";"7550";"115"
"Haren";"2023";"";""
"Harenkarspel";"2023";"";""
"Harlingen";"2023";"8035";"125"
"Hattem";"2023";"5467";"139"
"Heemskerk";"2023";"17882";"113"
"Heemstede";"2023";"12863";"130"
"Heerde";"2023";"8195";"129"
"Heerenveen";"2023";"24010";"138"
"Heerhugowaard";"2023";"";""
"Heerlen";"2023";"46474";"115"
"Heeze-Leende";"2023";"7095";"170"
"Heiloo";"2023";"11123";"123"
"Den Helder";"2023";"28518";"106"
"Hellendoorn";"2023";"15061";"132"
"Hellevoetsluis";"2023";"";""
"Helmond";"2023";"42337";"121"
"Hendrik-Ido-Ambacht";"2023";"12725";"120"
"Hengelo (O.)";"2023";"39523";"119"
"'s-Hertogenbosch";"2023";"75246";"115"
"Heumen";"2023";"7379";"151"
"Heusden";"2023";"19761";"144"
"Hillegom";"2023";"10124";"112"
"Hilvarenbeek";"2023";"7030";"167"
"Hilversum";"2023";"43618";"107"
"Hoeksche Waard";"2023";"39026";"124"
"Hof van Twente";"2023";"15428";"155"
"Het Hogeland";"2023";"22813";"172"
"Hollands Kroon";"2023";"21452";"145"
"Hoogeveen";"2023";"25775";"126"
"Hoogezand-Sappemeer";"2023";"";""
"Hoorn";"2023";"34330";"112"
"Horst aan de Maas";"2023";"18409";"162"
"Houten";"2023";"21217";"124"
"Huizen";"2023";"19128";"118"
"Hulst";"2023";"13649";"144"
"IJsselstein";"2023";"14533";"116"
"Kaag en Braassem";"2023";"12378";"129"
"Kampen";"2023";"23340";"127"
"Kapelle";"2023";"5530";"137"
"Katwijk";"2023";"27444";"107"
"Kerkrade";"2023";"24167";"128"
"Koggenland";"2023";"9803";"148"
"Kollumerland en Nieuwkruisland";"2023";"";""
"Korendijk";"2023";"";""
"Krimpen aan den IJssel";"2023";"12572";"114"
"Krimpenerwaard";"2023";"24450";"129"
"Laarbeek";"2023";"9908";"157"
"Land van Cuijk";"2023";"39868";"151"
"Landerd";"2023";"";""
"Landgraaf";"2023";"18139";"133"
"Landsmeer";"2023";"4915";"124"
"Langedijk";"2023";"";""
"Lansingerland";"2023";"24865";"130"
"Laren (NH.)";"2023";"5475";"157"
"Leek";"2023";"";""
"Leerdam";"2023";"";""
"Leeuwarden";"2023";"64684";"114"
"Leeuwarderadeel";"2023";"";""
"Leiden";"2023";"62598";"94"
"Leiderdorp";"2023";"12700";"112"
"Leidschendam-Voorburg";"2023";"37690";"104"
"Lelystad";"2023";"35058";"126"
"Lemsterland";"2023";"";""
"Leudal";"2023";"16312";"166"
"Leusden";"2023";"13637";"128"
"Liesveld";"2023";"";""
"Lingewaal";"2023";"";""
"Lingewaard";"2023";"20320";"132"
"Lisse";"2023";"10490";"118"
"Littenseradiel";"2023";"";""
"Lochem";"2023";"15446";"162"
"Loon op Zand";"2023";"10516";"132"
"Lopik";"2023";"5879";"138"
"Loppersum";"2023";"";""
"Losser";"2023";"10067";"154"
"Maasdonk";"2023";"";""
"Maasdriel";"2023";"10377";"144"
"Maasgouw";"2023";"11262";"163"
"Maashorst";"2023";"26012";"145"
"Maassluis";"2023";"16055";"109"
"Maastricht";"2023";"64382";"112"
"De Marne";"2023";"";""
"Marum";"2023";"";""
"Medemblik";"2023";"19454";"144"
"Meerssen";"2023";"8684";"157"
"Meierijstad";"2023";"35758";"149"
"Menameradiel";"2023";"";""
"Menterwolde";"2023";"";""
"Meppel";"2023";"16390";"114"
"Middelburg (Z.)";"2023";"24458";"115"
"Middelharnis";"2023";"";""
"Midden-Delfland";"2023";"8058";"134"
"Midden-Drenthe";"2023";"14704";"156"
"Midden-Groningen";"2023";"28587";"144"
"Mill en Sint Hubert";"2023";"";""
"Millingen aan de Rijn";"2023";"";""
"Moerdijk";"2023";"16783";"133"
"Molenlanden";"2023";"17852";"138"
"Molenwaard";"2023";"";""
"Montferland";"2023";"16226";"146"
"Montfoort";"2023";"5799";"132"
"Mook en Middelaar";"2023";"3679";"156"
"Muiden";"2023";"";""
"Naarden";"2023";"";""
"Neder-Betuwe";"2023";"9119";"144"
"Nederlek";"2023";"";""
"Nederweert";"2023";"7656";"175"
"Neerijnen";"2023";"";""
"Nieuwegein";"2023";"30456";"104"
"Nieuwkoop";"2023";"11824";"139"
"Nieuw-Lekkerland";"2023";"";""
"Nijkerk";"2023";"18072";"130"
"Nijmegen";"2023";"84648";"112"
"Nissewaard";"2023";"40034";"105"
"Noardeast-Fryslân";"2023";"20965";"159"
"Noord-Beveland";"2023";"4736";"127"
"Noordenveld";"2023";"14926";"147"
"Noordoostpolder";"2023";"20755";"161"
"Noordwijk";"2023";"20757";"120"
"Noordwijkerhout";"2023";"";""
"Nuenen, Gerwen en Nederwetten";"2023";"10672";"151"
"Nunspeet";"2023";"11458";"134"
"Nuth";"2023";"";""
"Oegstgeest";"2023";"11141";"129"
"Oirschot";"2023";"8260";"159"
"Oisterwijk";"2023";"14337";"150"
"Oldambt";"2023";"18973";"146"
"Oldebroek";"2023";"9595";"140"
"Oldenzaal";"2023";"14826";"130"
"Olst-Wijhe";"2023";"7980";"145"
"Ommen";"2023";"7755";"150"
"Onderbanken";"2023";"";""
"Oost Gelre";"2023";"13133";"152"
"Oosterhout";"2023";"25929";"127"
"Oostflakkee";"2023";"";""
"Ooststellingwerf";"2023";"11468";"124"
"Oostzaan";"2023";"4144";"114"
"Opmeer";"2023";"5029";"142"
"Opsterland";"2023";"13318";"162"
"Oss";"2023";"41779";"135"
"Oud-Beijerland";"2023";"";""
"Oude IJsselstreek";"2023";"17651";"151"
"Ouder-Amstel";"2023";"6392";"122"
"Ouderkerk";"2023";"";""
"Oudewater";"2023";"4393";"136"
"Overbetuwe";"2023";"20388";"137"
"Papendrecht";"2023";"14609";"112"
"Peel en Maas";"2023";"18921";"161"
"Pekela";"2023";"5787";"147"
"Pijnacker-Nootdorp";"2023";"22451";"131"
"Purmerend";"2023";"42865";"110"
"Putten";"2023";"10219";"136"
"Raalte";"2023";"16400";"149"
"Reimerswaal";"2023";"9352";"127"
"Renkum";"2023";"15102";"130"
"Renswoude";"2023";"2192";"150"
"Reusel-De Mierden";"2023";"5742";"164"
"Rheden";"2023";"21327";"120"
"Rhenen";"2023";"8368";"130"
"Ridderkerk";"2023";"21589";"104"
"Rijnwaarden";"2023";"";""
"Rijnwoude";"2023";"";""
"Rijssen-Holten";"2023";"15000";"137"
"Rijswijk (ZH.)";"2023";"28137";"102"
"Roerdalen";"2023";"9729";"159"
"Roermond";"2023";"29164";"128"
"De Ronde Venen";"2023";"18872";"134"
"Roosendaal";"2023";"35904";"122"
"Rotterdam";"2023";"321282";"90"
"Rozendaal";"2023";"706";"194"
"Rucphen";"2023";"10218";"151"
"Schagen";"2023";"21169";"142"
"Schermer";"2023";"";""
"Scherpenzeel";"2023";"4248";"96"
"Schiedam";"2023";"38089";"96"
"Schiermonnikoog";"2023";"612";"121"
"Schijndel";"2023";"";""
"Schinnen";"2023";"";""
"Schoonhoven";"2023";"";""
"Schouwen-Duiveland";"2023";"16888";"135"
"Simpelveld";"2023";"5215";"150"
"Sint Anthonis";"2023";"";""
"Sint-Michielsgestel";"2023";"12568";"160"
"Sint-Oedenrode";"2023";"";""
"Sittard-Geleen";"2023";"47011";"127"
"Skarsterlân";"2023";"";""
"Sliedrecht";"2023";"11213";"105"
"Slochteren";"2023";"";""
"Sluis";"2023";"13887";"137"
"Smallingerland";"2023";"26241";"131"
"Soest";"2023";"21202";"121"
"Someren";"2023";"8482";"164"
"Son en Breugel";"2023";"7632";"152"
"Spijkenisse";"2023";"";""
"Stadskanaal";"2023";"15177";"122"
"Staphorst";"2023";"6099";"213"
"Stede Broec";"2023";"9438";"125"
"Steenbergen";"2023";"10679";"135"
"Steenwijkerland";"2023";"20469";"151"
"Stein (L.)";"2023";"11823";"142"
"Stichtse Vecht";"2023";"28901";"121"
"Strijen";"2023";"";""
"Súdwest-Fryslân";"2023";"42865";"151"
"Terneuzen";"2023";"27414";"126"
"Terschelling";"2023";"2318";"137"
"Texel";"2023";"6975";"125"
"Teylingen";"2023";"16657";"119"
"Tholen";"2023";"11263";"135"
"Tiel";"2023";"18534";"115"
"Tilburg";"2023";"105264";"111"
"Tubbergen";"2023";"8771";"196"
"Twenterand";"2023";"14016";"148"
"Tynaarlo";"2023";"14715";"146"
"Tytsjerksteradiel";"2023";"14211";"151"
"Ubbergen";"2023";"";""
"Uden";"2023";"";""
"Uitgeest";"2023";"5692";"123"
"Uithoorn";"2023";"13572";"117"
"Urk";"2023";"6964";"128"
"Utrecht (gemeente)";"2023";"165400";"95"
"Utrechtse Heuvelrug";"2023";"22121";"132"
"Vaals";"2023";"5862";"123"
"Valkenburg aan de Geul";"2023";"8368";"144"
"Valkenswaard";"2023";"15081";"131"
"Veendam";"2023";"13013";"124"
"Veenendaal";"2023";"29268";"111"
"Veere";"2023";"11066";"140"
"Veghel";"2023";"";""
"Veldhoven";"2023";"20399";"134"
"Velsen";"2023";"31823";"103"
"Venlo";"2023";"48553";"129"
"Venray";"2023";"19757";"151"
"Vianen";"2023";"";""
"Vijfheerenlanden";"2023";"25013";"127"
"Vlaardingen";"2023";"36315";"94"
"Vlagtwedde";"2023";"";""
"Vlieland";"2023";"640";"111"
"Vlissingen";"2023";"23243";"106"
"Vlist";"2023";"";""
"Voerendaal";"2023";"5846";"160"
"Voorne aan Zee";"2023";"33488";"124"
"Voorschoten";"2023";"11572";"121"
"Voorst";"2023";"10938";"146"
"Vught";"2023";"13952";"144"
"Waadhoeke";"2023";"21476";"157"
"Waalre";"2023";"8059";"151"
"Waalwijk";"2023";"22580";"123"
"Waddinxveen";"2023";"13408";"120"
"Wageningen";"2023";"18560";"106"
"Wassenaar";"2023";"12241";"157"
"Waterland";"2023";"7495";"128"
"Weert";"2023";"23596";"136"
"Weesp";"2023";"";""
"Werkendam";"2023";"";""
"West Betuwe";"2023";"21447";"141"
"West Maas en Waal";"2023";"8507";"163"
"Westerkwartier";"2023";"27914";"165"
"Westerveld";"2023";"8757";"185"
"Westervoort";"2023";"6766";"119"
"Westerwolde";"2023";"11996";"156"
"Westland";"2023";"47043";"123"
"Weststellingwerf";"2023";"11921";"145"
"Westvoorne";"2023";"";""
"Wierden";"2023";"10034";"146"
"Wijchen";"2023";"18317";"133"
"Wijdemeren";"2023";"10851";"125"
"Wijk bij Duurstede";"2023";"10353";"128"
"Winsum";"2023";"";""
"Winterswijk";"2023";"13375";"157"
"Woensdrecht";"2023";"10020";"140"
"Woerden";"2023";"22769";"124"
"De Wolden";"2023";"10555";"169"
"Wormerland";"2023";"7145";"115"
"Woudenberg";"2023";"5601";"130"
"Woudrichem";"2023";"";""
"Zaanstad";"2023";"70210";"103"
"Zaltbommel";"2023";"12107";"145"
"Zandvoort";"2023";"9825";"106"
"Zederik";"2023";"";""
"Zeevang";"2023";"";""
"Zeewolde";"2023";"9354";"132"
"Zeist";"2023";"30111";"119"
"Zevenaar";"2023";"20679";"132"
"Zijpe";"2023";"";""
"Zoetermeer";"2023";"56991";"108"
"Zoeterwoude";"2023";"3944";"130"
"Zuidhorn";"2023";"";""
"Zuidplas";"2023";"19033";"125"
"Zundert";"2023";"9940";"157"
"Zutphen";"2023";"23381";"118"
"Zwartewaterland";"2023";"9196";"147"
"Zwijndrecht";"2023";"20828";"106"
"Zwolle";"2023";"60475";"110"
"Gemeenten; niet in te delen";"2023";"0";"."
"Bron: CBS"
