municipality,m2_price,population,pop_density,size,avg_income,homes_per_capita,unemp_rate,net_labor_participation,multy_family,distance_to_urban_center,traffic,has_station,log_avg_income,log_distance,log_homes_per_capita,log_multy_family,log_m2_price,station_x_multy_fam,station_x_pop_den,station_x_distance
Aa en Hunze,2246.0163934426228,25724.0,93.0,27606.0,36.7,0.4442543927849479,2.7,71.4,8.575428771438572,27.50573970300652,0,0,3.6027767550605247,3.3143946993672375,-0.8113579239040901,2.1489009943020454,7.716913434222162,0.0,0.0,0.0
Aalsmeer,4258.523809523809,33063.0,1645.0,2010.0,41.5,0.4071015939267459,3.1,78.4,21.931649331352155,15.790942415780567,0,0,3.7256934272366524,2.7594365108298025,-0.8986925081609329,3.0879307685097355,8.356677855624284,0.0,0.0,0.0
Aalten,2276.5,27244.0,282.0,9653.0,34.1,0.44648362942299225,2.7,73.9,17.790200591910555,93.85344774827088,68,1,3.5292973842894715,4.541734499153379,-0.8063525435639536,2.878647777157208,7.730394454774836,2.878647777157208,282.0,4.541734499153379
Achtkarspelen,2251.9225352112676,28149.0,275.0,10221.0,31.2,0.4365696827596007,3.2,72.2,12.490845471559933,28.21505295157997,95,1,3.4404180948154366,3.3398556281366902,-0.8288072766735622,2.5249960137247918,7.719539590449151,2.5249960137247918,275.0,3.3398556281366902
Alblasserdam,3302.3119266055046,20356.0,2320.0,877.0,35.2,0.4150618982118294,3.1,75.6,31.743401585986508,14.469833577712933,0,0,3.5610460826040513,2.6720660393825697,-0.8793276175558785,3.45768487967687,8.102378085980137,0.0,0.0,0.0
Albrandswaard,3630.705426356589,26357.0,1217.0,2167.0,41.8,0.40710247752020334,3.0,76.4,19.440820130475302,8.533938173688913,0,0,3.7328963395307104,2.1440509400347274,-0.8986903377137724,2.967374985924065,8.197182240708456,0.0,0.0,0.0
Alkmaar,3782.8653846153848,111834.0,1014.0,11031.0,35.0,0.4776454387753277,3.4,73.1,37.29149896100492,26.772804362399423,352,1,3.5553480614894135,3.28738660969963,-0.7388865816149119,3.618765390781734,8.238237039705783,3.618765390781734,1014.0,3.28738660969963
Almelo,2555.8166666666666,73949.0,1101.0,6718.0,31.5,0.46068236216852154,4.0,70.7,28.693457011183842,97.04999484182952,359,1,3.449987545831587,4.575226256465399,-0.7750464926255012,3.3566691180700845,7.846127086268712,3.3566691180700845,1101.0,4.575226256465399
Almere,3756.9115044247787,222825.0,1725.0,12918.0,35.5,0.4070010097610232,4.1,73.5,29.068254493328922,23.238827534500565,1190,1,3.56953269648137,3.145824480388355,-0.8989396125573047,3.369646667818889,8.231352490445547,3.369646667818889,1725.0,3.145824480388355
Alphen aan den Rijn,3460.9827586206898,114182.0,907.0,12593.0,37.3,0.4381688882661015,3.0,76.0,35.711858647638465,23.728106178443777,327,1,3.6189933266497696,3.1666602602019744,-0.8251508532776417,3.5754828086315698,8.149307862005106,3.5754828086315698,907.0,3.1666602602019744
Alphen-Chaam,2700.7602339181285,10463.0,113.0,9298.0,40.0,0.431711746153111,2.6,73.1,11.15784812928935,40.92021089877641,0,0,3.6888794541139363,3.7116240949991863,-0.8399971677264432,2.4121431184048556,7.901288580477383,0.0,0.0,0.0
Altena,2890.7357142857145,57726.0,289.0,19974.0,37.5,0.40189862453660397,2.6,75.6,12.581896551724137,36.6595570002709,0,0,3.624340932976365,3.601674158330661,-0.9115553999349183,2.532258999187805,7.969266321125621,0.0,0.0,0.0
Ameland,2454.5416666666665,3840.0,68.0,5659.0,47.5,0.48411458333333335,2.9,74.6,20.763851533082303,60.50234108626485,0,0,3.8607297110405954,4.10268205992888,-0.7254336578603285,3.033213567731478,7.805695328977029,0.0,0.0,0.0
Amersfoort,4160.9375,160759.0,2572.0,6249.0,37.6,0.43992560292114286,3.6,76.4,37.583778739289045,20.195481300237503,1014,1,3.6270040503958487,3.005458881374983,-0.8211496506363168,3.6265725408007032,8.333495688442351,3.6265725408007032,2572.0,3.005458881374983
Amstelveen,5697.981481481482,94418.0,2297.0,4111.0,40.7,0.4541506916054142,4.1,73.8,51.7607276119403,9.440665154583757,0,0,3.706228092448549,2.2450264389657812,-0.7893262161782774,3.9466317075115436,8.647867265049323,0.0,0.0,0.0
Amsterdam,7378.714285714285,918117.0,4880.0,18812.0,36.8,0.517217304548331,5.0,72.9,87.36254016922669,0.4484067223779206,3777,1,3.6054978451748854,-0.8020545959742962,-0.659292174507388,4.47006658860256,8.906354686389268,4.47006658860256,4880.0,-0.8020545959742962
Apeldoorn,3396.875,167191.0,492.0,33986.0,35.3,0.44916293341148744,3.3,73.8,29.365079365079367,55.65205614368325,354,1,3.5638829639392506,4.019119024814082,-0.800369576415949,3.3798061916808377,8.130611170309574,3.3798061916808377,492.0,4.019119024814082
Arnhem,3549.173076923077,165770.0,1696.0,9774.0,31.7,0.4814924292694697,4.0,72.5,48.99081649272711,53.710539806357104,922,1,3.456316680883235,3.983609254255191,-0.7308647710877763,3.8916328620298084,8.174469919257634,3.8916328620298084,1696.0,3.983609254255191
Assen,2807.563025210084,69414.0,848.0,8188.0,32.8,0.4753796064194543,3.6,72.4,30.168495060306682,24.223010947632623,150,1,3.490428515390098,3.187303046980965,-0.7436416227055541,3.4067981699349983,7.940072135233319,3.4067981699349983,848.0,3.187303046980965
Asten,2715.432098765432,17242.0,246.0,7021.0,35.8,0.41903491474306925,2.9,74.3,14.643598615916956,22.38614396603467,0,0,3.5779478934066544,3.1084421945209373,-0.8698010337892373,2.684003285425703,7.906706372104427,0.0,0.0,0.0
Baarle-Nassau,2400.128834355828,7071.0,93.0,7612.0,35.8,0.41889407438834675,2.9,69.7,13.943281566509116,39.502383326433964,0,0,3.5779478934066544,3.6763610074649247,-0.8701371967764967,2.63499778412138,7.78327769587686,0.0,0.0,0.0
Baarn,4568.372881355932,25008.0,769.0,3254.0,41.5,0.47144913627639157,3.3,72.9,34.130619168787106,15.868620921516381,139,1,3.7256934272366524,2.764343632307254,-0.7519440591298412,3.53019490423625,8.426912377022752,3.53019490423625,769.0,2.764343632307254
Barendrecht,3673.3700787401576,48812.0,2493.0,1958.0,41.0,0.40461361960173725,3.2,75.4,27.29113924050633,8.912705364370636,122,1,3.713572066704308,2.1874778277605706,-0.9048226929224622,3.3065620795618664,8.208864797275558,3.3065620795618664,2493.0,2.1874778277605706
Barneveld,3594.889705882353,61655.0,351.0,17584.0,37.4,0.38238585678371584,2.8,77.9,21.76789955887343,36.38749146626961,342,1,3.6216707044204863,3.5942250745480346,-0.9613250838871003,3.0804363873060874,8.187268589818682,3.0804363873060874,351.0,3.5942250745480346
Beek,2254.2108843537417,16132.0,766.0,2107.0,35.7,0.46782791966278203,3.1,70.7,24.65880482310852,12.404494808586719,49,1,3.5751506887855933,2.518058891492779,-0.7596547437083904,3.205134030345474,7.720555250273715,3.205134030345474,766.0,2.518058891492779
Beekdaelen,2034.4545454545455,35966.0,459.0,7830.0,35.8,0.46613468275593617,2.9,69.8,15.013420817178647,17.04746210637929,98,1,3.5779478934066544,2.8360013425845247,-0.7632806678248133,2.7089445222230784,7.617983025316785,2.7089445222230784,459.0,2.8360013425845247
Beesel,2426.3380281690143,13449.0,482.0,2788.0,33.4,0.45319354598854933,3.1,71.6,15.110746513535686,45.48168172192202,71,1,3.5085558999826545,3.8173096453737627,-0.7914359909081773,2.7154061803280265,7.794138415399099,2.7154061803280265,482.0,3.8173096453737627
Berg en Dal,3167.5407407407406,35420.0,410.0,8639.0,35.1,0.4540372670807453,3.0,70.5,19.991294615097623,55.42977307464937,0,0,3.55820113047182,4.015116869514789,-0.7895759982287301,2.9952969095517163,8.060710774224889,0.0,0.0,0.0
Bergeijk,2455.3953488372094,19092.0,189.0,10102.0,39.2,0.4308087156924366,2.7,74.4,13.082066869300913,15.322212048905735,0,0,3.6686767467964168,2.7293035435045248,-0.8420911024922145,2.5712423510762488,7.8060430654862545,0.0,0.0,0.0
Bergen (L.),2138.9240506329115,13119.0,127.0,10326.0,34.2,0.4448509794953884,3.0,71.5,7.042494859492804,47.25844743171804,0,0,3.5322256440685598,3.855631419583884,-0.810015930438354,1.9519624908416497,7.668058201501534,0.0,0.0,0.0
Bergen (NH.),5252.396946564885,30138.0,304.0,9900.0,43.6,0.5134050036498772,3.0,68.9,28.617591934337234,36.514954894352385,0,0,3.7750571503549883,3.5977218998077856,-0.6666902644884273,3.354021631326946,8.566439812643749,0.0,0.0,0.0
Bergen op Zoom,2796.603305785124,68864.0,861.0,7997.0,34.4,0.45743784851301117,3.6,70.3,30.224437319450175,48.63954548367168,109,1,3.5380565643793527,3.88443689311737,-0.7821142537398257,3.408650779932207,7.93616085467897,3.408650779932207,861.0,3.88443689311737
Berkelland,2606.064935064935,44022.0,171.0,25809.0,34.6,0.45068374903457364,2.8,72.6,19.243951612903228,99.01754279009788,62,1,3.543853682063679,4.595297034336521,-0.7969894071031854,2.9571968094349206,7.865596674897353,2.9571968094349206,171.0,4.595297034336521
Bernheze,3064.1666666666665,32263.0,360.0,8973.0,38.9,0.4062548430090196,2.7,75.4,12.230106050202181,29.299501088657852,0,0,3.660994250624401,3.3775704881871906,-0.9007746241562761,2.503900620978099,8.027530924507317,0.0,0.0,0.0
Best,3207.205673758865,30897.0,912.0,3389.0,38.5,0.4316600317182898,3.1,75.6,20.16195546224788,11.268529477877863,121,1,3.6506582412937387,2.4220138384271808,-0.8401169641715169,3.0037974356345614,8.073155330395974,3.0037974356345614,912.0,2.4220138384271808
Beuningen,3083.3868613138684,26573.0,609.0,4360.0,37.3,0.4286681970421104,3.1,74.5,15.626371696953736,49.24702591438428,0,0,3.6189933266497696,3.8968489782695053,-0.8470720927763711,2.7489599803743103,8.033783902113791,0.0,0.0,0.0
Beverwijk,3737.181818181818,42711.0,2327.0,1835.0,34.1,0.46606260682259837,3.6,73.8,45.40339596101678,21.24547844747138,77,1,3.5292973842894715,3.056144093787252,-0.7634353044758467,3.8155869031533074,8.226087081815939,3.8155869031533074,2327.0,3.056144093787252
De Bilt,4677.3,43884.0,663.0,6619.0,44.1,0.4531036368608149,3.3,73.1,35.33494266747134,6.702159939086262,209,1,3.7864597824528,1.902429853412085,-0.7916344007228183,3.5648723515993006,8.450476299350616,3.5648723515993006,663.0,1.902429853412085
Bladel,2869.3896103896104,21009.0,279.0,7533.0,37.4,0.4341472702175258,2.8,75.6,17.08146036618792,16.52190268387723,0,0,3.6216707044204863,2.80468693602959,-0.8343714701434691,2.837993686238627,7.96185460682746,0.0,0.0,0.0
Blaricum,6295.641176470588,12490.0,1128.0,1107.0,62.8,0.43018414731785426,3.0,71.9,13.5678391959799,23.099338906703814,0,0,4.1399550734741535,3.139803998360813,-0.843541912390802,2.607702227267928,8.747612796171747,0.0,0.0,0.0
Bloemendaal,6559.120481927711,23922.0,602.0,3977.0,74.3,0.4289775102416186,3.1,72.3,27.64568310270902,21.651777766706047,155,1,4.308110951723714,3.0750875650129483,-0.8463507851074998,3.3194695892950326,8.788611800072688,3.3194695892950326,602.0,3.0750875650129483
Bodegraven-Reeuwijk,3508.5801526717555,36308.0,482.0,7540.0,40.6,0.4151702104219456,2.9,75.7,20.279952235637523,24.488730064821272,105,1,3.7037680666076866,3.1982130143652086,-0.8790666972431027,3.0096328234755108,8.162966719713355,3.0096328234755108,482.0,3.1982130143652086
Boekel,2605.0175438596493,11163.0,324.0,3450.0,38.7,0.40472991131416286,2.7,76.8,13.014608233731739,25.935864223604735,0,0,3.6558396000357365,3.2556267299242787,-0.9045353199867836,2.5660724368587697,7.865194688851795,0.0,0.0,0.0
Borger-Odoorn,2300.0333333333333,25919.0,94.0,27469.0,34.1,0.44106639916663454,2.9,70.5,7.995101469559132,40.42159296902862,0,0,3.5292973842894715,3.6993641216152486,-0.8185598498653571,2.078829037832538,7.7406788945658445,0.0,0.0,0.0
Borne,2648.2587412587413,24524.0,944.0,2599.0,36.6,0.42028217256565,2.9,75.5,14.786067720966333,101.64550126327033,79,1,3.600048240407321,4.621491281970242,-0.8668289538457858,2.69368536719789,7.881657624239114,2.69368536719789,944.0,4.621491281970242
Borsele,2293.183673469388,23159.0,164.0,14147.0,36.4,0.4324452696575845,2.6,75.0,7.728407388916625,70.2503052284768,0,0,3.5945687746426946,4.2520646530937665,-0.8382995047619021,2.0449028114779,7.737696381468236,0.0,0.0,0.0
Boxtel,3161.2836879432625,33748.0,489.0,6901.0,37.1,0.4358480502548299,3.0,74.3,26.5211775103678,20.08853592815738,127,1,3.6136169696133895,3.000149300519585,-0.8304616049661744,3.2779435651754047,8.058733454453536,3.2779435651754047,489.0,3.000149300519585
Breda,3737.264957264957,186438.0,1483.0,12569.0,36.1,0.46517877256782414,3.7,74.2,39.95410887036333,42.41799838918203,327,1,3.586292865338835,3.7475727624782857,-0.765333490144383,3.6877315172455374,8.226109328033122,3.6877315172455374,1483.0,3.7475727624782857
Bronckhorst,2767.7345679012346,36277.0,128.0,28353.0,38.1,0.45133280039694573,2.6,72.5,17.058572039333047,81.05393147066654,62,1,3.6402142821326553,4.39511475373774,-0.7955502949831275,2.836652836293776,7.925784419040258,2.836652836293776,128.0,4.39511475373774
Brummen,2915.091603053435,21105.0,252.0,8363.0,36.5,0.4570954750059228,2.9,72.8,12.293977402301232,68.12577000167342,120,1,3.597312260588446,4.22135555569639,-0.7828629930460455,2.5091095003752084,7.977656523009006,2.5091095003752084,252.0,4.22135555569639
Brunssum,2032.808,27682.0,1606.0,1724.0,30.9,0.5242395780651687,3.7,66.5,30.492006615214994,22.719891210843407,0,0,3.4307561839036995,3.123240805586355,-0.6458064891017292,3.4174645710752034,7.617173367456692,0.0,0.0,0.0
Bunnik,4077.607407407407,16026.0,434.0,3693.0,41.2,0.4220641457631349,2.8,76.6,18.125369603784744,8.350846398667738,86,1,3.7184382563554808,2.122362898835577,-0.862597972319545,2.897312592465777,8.313265675633808,2.897312592465777,434.0,2.122362898835577
Bunschoten,3534.064,22500.0,740.0,3039.0,37.9,0.39222222222222225,2.7,77.6,21.439093484419264,23.119716140514264,0,0,3.634951112088381,3.140685766069388,-0.9359267063910139,3.0652160537984177,8.170203762506267,0.0,0.0,0.0
Buren,3097.4493670886077,27725.0,208.0,13360.0,39.0,0.4012623985572588,2.7,75.0,7.721348314606742,25.682227296083934,0,0,3.6635616461296463,3.245799207774245,-0.9131397051841268,2.043989000937906,8.038334266989906,0.0,0.0,0.0
Capelle aan den IJssel,3549.4077669902913,67552.0,4777.0,1414.0,34.5,0.4661297963050687,4.1,71.2,55.50050813008131,7.286224080795859,78,1,3.5409593240373143,1.9859854530950365,-0.7632911507960672,4.016392176207438,8.174536042352505,4.016392176207438,4777.0,1.9859854530950365
Castricum,3970.1147540983607,36345.0,732.0,4964.0,41.1,0.44969046636401155,2.8,74.1,22.90748898678414,25.858057866268293,195,1,3.716008121502189,3.2526222686776527,-0.7991957854212779,3.131463887088116,8.286550278577934,3.131463887088116,732.0,3.2526222686776527
Coevorden,2444.4444444444443,35700.0,121.0,29611.0,33.8,0.4452380952380952,3.0,69.4,13.324944951242529,54.42501384610618,127,1,3.520460802488973,3.9968238615276745,-0.8091460944228275,2.58963783880454,7.801573155004234,2.58963783880454,121.0,3.9968238615276745
Cranendonck,2575.99358974359,20851.0,273.0,7650.0,36.6,0.4383003213275143,2.9,71.2,9.508698982383192,17.817330516095986,59,1,3.600048240407321,2.8801716081329034,-0.824850938435319,2.2522070619812817,7.853990598767573,2.2522070619812817,273.0,2.8801716081329034
Culemborg,3560.2916666666665,29729.0,1016.0,2927.0,36.4,0.43805711594739144,3.2,74.1,25.332104737771633,17.172261826082536,168,1,3.5945687746426946,2.8432953975138684,-0.8254059754008812,3.2320725532489694,8.177597749329042,3.2320725532489694,1016.0,2.8432953975138684
Dalfsen,2889.8662420382166,29612.0,179.0,16502.0,36.7,0.41645278940969876,2.6,76.4,13.712293220888744,80.72179012927899,82,1,3.6027767550605247,4.391008552822229,-0.875982174556948,2.6182927458806304,7.9689654970036266,2.6182927458806304,179.0,4.391008552822229
Dantumadiel,2260.2312925170068,19194.0,227.0,8460.0,31.6,0.43049911430655413,3.1,71.8,9.778530799951591,39.37511952509529,175,1,3.4531571205928664,3.6731341326991656,-0.8428100124763886,2.2801892478080026,7.723222428851449,2.2801892478080026,227.0,3.6731341326991656
Delft,4411.102272727273,106086.0,4681.0,2266.0,29.7,0.4978602266086006,4.6,72.0,67.1008785216601,9.100448748682293,468,1,3.391147045808654,2.2083237253489667,-0.6974359108131701,4.206197136614134,8.391879885673212,4.206197136614134,4681.0,2.2083237253489667
Deurne,2544.0925925925926,32977.0,282.0,11676.0,35.5,0.4339994541650241,2.9,74.0,14.721911682504194,25.315646570185585,144,1,3.56953269648137,3.2314226460866444,-0.8347120025667993,2.6893369746037252,7.84152932025703,2.6893369746037252,282.0,3.2314226460866444
Deventer,3253.6814159292035,102781.0,787.0,13056.0,33.3,0.4574289022290112,3.6,73.3,32.8384558119749,78.45215920339288,324,1,3.505557396986398,4.362489002106757,-0.7821338113070735,3.491600261918841,8.087542377616918,3.491600261918841,787.0,4.362489002106757
Diemen,5674.8,32785.0,2744.0,1195.0,35.1,0.4867774897056581,4.2,73.9,64.1017607619525,6.533264237681883,262,1,3.55820113047182,1.876906701647419,-0.7199481602985334,4.160471832534577,8.64379059943783,4.160471832534577,2744.0,1.876906701647419
Dijk en Waard,3376.361344537815,88985.0,1438.0,6190.0,36.5,0.4209585885261561,3.1,74.9,21.22587362182653,35.3718308828878,159,1,3.597312260588446,3.5659157656008436,-0.8652208146838124,3.0552208913893013,8.124553883322848,3.0552208913893013,1438.0,3.5659157656008436
Dinkelland,2403.109090909091,26743.0,152.0,17572.0,38.4,0.4182776801405975,2.6,75.2,14.920436259610225,97.00581260103611,0,0,3.648057459593681,4.5747709004300505,-0.8716097604548563,2.702731834268393,7.784518632504227,0.0,0.0,0.0
Doesburg,2966.7049180327867,11081.0,959.0,1156.0,32.8,0.48551574767620254,3.5,67.4,22.230483271375466,70.60775366286177,0,0,3.490428515390098,4.257139963721845,-0.7225435557804952,3.1014644673428386,7.995207160687915,0.0,0.0,0.0
Doetinchem,2908.9761904761904,59195.0,749.0,7904.0,34.1,0.45334910043077964,3.2,72.8,25.05589506632881,80.94454146274435,391,1,3.5292973842894715,4.393764246877181,-0.7910928091629579,3.2211091318338188,7.975556473682123,3.2211091318338188,749.0,4.393764246877181
Dongen,2996.485294117647,27200.0,930.0,2923.0,36.5,0.4313235294117647,2.8,75.7,16.331401295601772,42.26634997813468,0,0,3.597312260588446,3.7439912606760632,-0.840896822186747,2.7930897144215554,8.00519531219978,0.0,0.0,0.0
Dordrecht,3240.875,121434.0,1566.0,7756.0,34.3,0.4660638700858079,3.7,72.0,44.262845430772494,22.415221293613723,714,1,3.5351453541718945,3.109740250126759,-0.7634325939784178,3.7901456215481515,8.083598634054665,3.7901456215481515,1566.0,3.109740250126759
Drechterland,3037.4794520547944,20385.0,346.0,5888.0,38.1,0.42197694383124845,2.8,74.3,11.880957916763544,37.41655465483232,83,1,3.6402142821326553,3.622113244315002,-0.8628046019096722,2.4749369434080597,8.018783322870298,2.4749369434080597,346.0,3.622113244315002
Drimmelen,2827.0699300699303,27994.0,295.0,9505.0,37.6,0.43516467814531684,2.7,75.0,13.257264816943032,31.58469431223559,0,0,3.6270040503958487,3.4526726460462887,-0.8320307490841613,2.5845456902484183,7.946996093882141,0.0,0.0,0.0
Dronten,2897.0814814814817,43593.0,131.0,33360.0,35.1,0.4208015048287569,3.1,74.6,13.622982991713911,56.094483157956574,77,1,3.55820113047182,4.027037468262648,-0.8655940414510652,2.611758292285303,7.971459123532424,2.611758292285303,131.0,4.027037468262648
Druten,2770.176056338028,19505.0,520.0,3752.0,36.0,0.43235067931299664,2.8,74.8,18.29716589588521,41.22265871076654,0,0,3.58351893845611,3.7189880738860426,-0.8385182623661154,2.9067461787766105,7.92666615540642,0.0,0.0,0.0
Duiven,2957.2109375,24937.0,736.0,3388.0,35.9,0.4356979588563179,3.0,74.3,13.83341003221353,63.32896995207005,107,1,3.580737295494233,4.148342885625342,-0.8308060306153696,2.627086683050536,7.992001852276132,2.627086683050536,736.0,4.148342885625342
Echt-Susteren,2024.61875,31967.0,310.0,10302.0,34.6,0.4664497763318422,3.1,68.7,15.954664341761116,30.169213000896153,137,1,3.543853682063679,3.4068219673450284,-0.7626049250868219,2.7697512217001417,7.6131366902103785,2.7697512217001417,310.0,3.4068219673450284
Edam-Volendam,3138.203125,36760.0,677.0,5432.0,40.2,0.4264961915125136,2.6,74.6,13.592294935578517,20.78526352589761,0,0,3.6938669956249752,3.034244251281798,-0.8521518417209558,2.609503083338041,8.05140566191824,0.0,0.0,0.0
Ede,3573.233333333333,122012.0,384.0,31815.0,36.4,0.423876340032128,3.1,75.7,32.51092462972272,41.45822972924833,492,1,3.5945687746426946,3.7246864078145197,-0.8583135171561874,3.4815761753054817,8.181226160490466,3.4815761753054817,384.0,3.7246864078145197
Eemnes,3481.17037037037,9598.0,309.0,3104.0,40.9,0.42977703688268387,2.9,75.0,10.303030303030303,20.866771761508023,0,0,3.711130063048756,3.038158025919255,-0.8444887236494095,2.332438056143727,8.15512382955269,0.0,0.0,0.0
Eemsdelta,1836.1702127659576,45394.0,169.0,26807.0,31.0,0.5196061153456404,3.7,68.1,20.248441938355874,21.807330148087274,306,1,3.4339872044851463,3.082246158602357,-0.6546842249215395,3.008077849276654,7.51543727536146,3.008077849276654,169.0,3.082246158602357
Eersel,2997.626506024096,20004.0,243.0,8247.0,40.5,0.4330133973205359,2.6,75.5,17.063033941353037,10.690952878342332,0,0,3.7013019741124933,2.3693978584210815,-0.8369866107642223,2.8369143657216664,8.005576089855682,0.0,0.0,0.0
Eijsden-Margraten,2346.7251461988303,25991.0,335.0,7756.0,38.6,0.441999153553153,2.8,71.6,15.215877437325906,8.015425791865475,34,1,3.6532522764707855,2.0813679090254475,-0.816447311944388,2.722339450915567,7.760776080428657,2.722339450915567,335.0,2.0813679090254475
Eindhoven,3743.287037037037,243730.0,2769.0,8802.0,33.3,0.48550855454806546,4.1,73.9,40.75279085293198,3.007639412129022,562,1,3.505557396986398,1.101155522614963,-0.7225583713275845,3.707524324530246,8.227719391321925,3.707524324530246,2769.0,1.101155522614963
